,gradient_boosting,random_forest,average
feature_49,0.1395427445252486,0.04411674988348722,0.0918297472043679
feature_59,0.07011622680149876,0.06307025176359994,0.06659323928254934
feature_64,0.06227591709037001,0.061752850680191984,0.062014383885280994
feature_52,0.06253585084494069,0.055457461943539434,0.058996656394240066
feature_63,0.062430243161709024,0.05324527643461362,0.05783775979816132
feature_57,0.08440878667812618,0.030904251846387745,0.05765651926225696
feature_47,0.05053978907944599,0.05663952518498821,0.0535896571322171
feature_53,0.06353136855764951,0.03765189931386316,0.05059163393575634
feature_51,0.06061836784093983,0.035233848404986855,0.04792610812296334
feature_48,0.04375578596606335,0.04808721605060657,0.04592150100833496
feature_60,0.06449613037316396,0.027288501630350532,0.04589231600175724
feature_62,0.03430289200651345,0.0510832064808841,0.04269304924369878
feature_50,0.026153329089582615,0.050600573853844144,0.03837695147171338
feature_61,0.028966409517620532,0.04711353054739402,0.038039970032507274
feature_46,0.01942599531461701,0.05379495749652812,0.036610476405572565
feature_54,0.03204092989274394,0.04047887125469069,0.036259900573717314
feature_55,0.01794536779787393,0.04747225823683627,0.0327088130173551
feature_56,0.012074325958474198,0.05136470500990109,0.031719515484187645
feature_58,0.007567093140261471,0.050878854900465766,0.02922297402036362
feature_45,0.014440748094930685,0.04187043016402313,0.028155589129476907
feature_43,0.012769958890843666,0.0015237896836160392,0.007146874287229853
feature_41,0.006770496959577238,0.0018736325571062733,0.004322064758341755
feature_26,0.0050073100721737965,0.0018940538183595396,0.003450681945266668
feature_21,9.939495805052482e-06,0.006049345113405235,0.003029642304605144
feature_36,0.005015453433006118,0.0006907054302030935,0.002853079431604606
feature_31,0.002659308179312455,0.003006480462535307,0.002832894320923881
feature_33,0.002032022814192279,0.0027731857945261485,0.0024026043043592136
feature_34,9.342947957506892e-05,0.0032533642243385615,0.0016733968519568152
feature_30,7.588699481273106e-05,0.0029303411233442714,0.0015031140590785013
feature_32,1.5411357176857398e-05,0.002978748790720248,0.0014970800739485528
feature_35,2.819065142708248e-05,0.0026951269703326132,0.0013616588108798478
feature_27,0.00010394097222232123,0.0025761154945793457,0.0013400282334008334
feature_20,5.631796786964447e-05,0.0023109791374255834,0.001183648552647614
feature_24,3.321587025978011e-05,0.0022013804594719307,0.0011172981648658554
feature_23,5.9070033692598586e-05,0.002117375082741156,0.0010882225582168773
feature_39,0.0005468716845654622,0.0015620739285539715,0.001054472806559717
feature_22,0.0008060294245642677,0.0008837790365930076,0.0008449042305786376
feature_40,3.99934258455087e-06,0.0015155958874009938,0.0007597976149927724
feature_29,8.803214529831094e-05,0.00105282624685525,0.0005704291960767805
feature_44,1.1565445047997645e-05,0.0010522792925402311,0.0005319223687941144
feature_38,4.697715155524002e-05,0.000824841770518476,0.00043590946103685805
feature_14,2.7840820986441486e-05,0.0007988666479007737,0.0004133537344436076
feature_25,1.4866181376020576e-05,0.0008090730363489177,0.0004119696088624691
feature_5,0.00022052536964574704,0.0004396663788100855,0.00033009587422791627
feature_42,0.00010954139122774288,0.00043708312302589807,0.0002733122571268205
feature_10,0.0004248491457763655,0.00010033956510510377,0.0002625943554407346
feature_4,4.86071760939764e-05,0.00047379905423110686,0.0002612031151625416
feature_18,0.0003225207293250915,0.00010706679236075194,0.00021479376084292172
feature_86,0.00039195850613035267,2.681700702488953e-05,0.0002093877565776211
feature_3,0.00035246927814076086,3.6666698316139124e-05,0.00019456798822844998
feature_28,0.00020639348154809266,0.00015310897904560744,0.00017975123029685005
feature_2,2.820318370535762e-05,0.0003180348080942384,0.000173118995899798
feature_12,9.853509750261201e-05,0.0002405143522082165,0.00016952472485541424
feature_11,0.00026656535231600625,4.079766045883187e-05,0.00015368150638741905
feature_109,0.0002565631989295532,4.0576045705214365e-05,0.00014856962231738378
feature_92,0.0002514804147802839,2.22931139778386e-05,0.00013688676437906126
feature_16,4.935158340041242e-05,0.00020263086618209366,0.00012599122479125304
feature_101,0.0002397657863408763,1.0746849997654952e-05,0.00012525631816926564
feature_0,0.00021991420146016654,1.5981404970845813e-05,0.00011794780321550618
feature_17,0.00012120489869176135,8.83779530692883e-05,0.00010479142588052482
feature_89,0.0001525995969117424,3.8690744400847025e-05,9.564517065629472e-05
feature_108,0.00017275194483570985,1.2868890084556415e-05,9.281041746013313e-05
feature_94,0.00010646240779483028,6.606745843950346e-05,8.626493311716687e-05
feature_97,0.00014442826510364595,2.2613972403286878e-05,8.352111875346641e-05
feature_82,0.00011630812299156215,4.885145253821052e-05,8.257978776488633e-05
feature_7,2.9445484313594044e-05,0.00013130574049220368,8.037561240289886e-05
feature_67,7.656303246533576e-05,8.23103657973145e-05,7.943669913132513e-05
feature_15,9.010119878833665e-05,5.57078364768482e-05,7.290451763259242e-05
feature_69,0.00011785264685889121,2.0635471827102228e-05,6.924405934299672e-05
feature_103,0.0001187823504320814,1.9129989258257027e-05,6.895616984516921e-05
feature_78,0.0001188579391586643,1.575165184225973e-05,6.730479550046202e-05
feature_107,0.00010630170358778346,2.5751219558344942e-05,6.60264615730642e-05
feature_77,0.00011609006538220209,1.4498966624998629e-05,6.529451600360036e-05
feature_71,9.7184095729894e-05,3.213134408927562e-05,6.465771990958481e-05
feature_79,0.00011516889515892477,1.175532451236501e-05,6.346210983564489e-05
feature_13,1.2148643566373984e-05,0.00010955899390502344,6.085381873569871e-05
feature_99,6.124548442496034e-05,5.969783633926602e-05,6.047166038211318e-05
