path,file_size_mb,n_samples,n_features,authenticity_flag,synthetic_score,red_flags,reason
/Users/stillwell/projects/cancer-alpha/data/advanced_multi_omics/advanced_multi_omics_20250820_212032.csv,0.0,0,0,ERROR,0.0,Read error: No columns to parse from file,Failed to read: No columns to parse from file
/Users/stillwell/projects/cancer-alpha/data/ultra_massive_processed/tcga_ultra_massive_20250822_110032.csv,0.8423938751220703,7427,17,SYNTHETIC,43.0,Column 'protein_mean' has suspiciously low variance: 2 unique values; Column 'protein_std' has suspiciously low variance: 2 unique values; Column 'protein_median' has suspiciously low variance: 2 unique values; Column 'protein_q75' has suspiciously low variance: 2 unique values; Column 'protein_q25' has suspiciously low variance: 2 unique values; Column 'protein_min' has identical values across 7427 rows; Column 'protein_max' has suspiciously low variance: 2 unique values; Column 'protein_range' has suspiciously low variance: 2 unique values; Column 'protein_positive_ratio' has identical values across 7427 rows; Column 'protein_negative_ratio' has identical values across 7427 rows; Column 'protein_high_expr' has suspiciously low variance: 2 unique values; Column 'protein_low_expr' has suspiciously low variance: 2 unique values; Column 'protein_extreme_high' has suspiciously low variance: 2 unique values; Column 'protein_extreme_low' has suspiciously low variance: 2 unique values; Column 'protein_total_measured' has suspiciously low variance: 2 unique values; Statistical column 'protein_min' has identical values - indicates artificial generation,Synthetic score: 43. Issues: 16
/Users/stillwell/projects/cancer-alpha/data/ultra_massive_processed/tcga_ultra_massive_20250820_211722.csv,0.4073476791381836,3588,17,SYNTHETIC,43.0,Column 'protein_mean' has suspiciously low variance: 2 unique values; Column 'protein_std' has suspiciously low variance: 2 unique values; Column 'protein_median' has suspiciously low variance: 2 unique values; Column 'protein_q75' has suspiciously low variance: 2 unique values; Column 'protein_q25' has suspiciously low variance: 2 unique values; Column 'protein_min' has identical values across 3588 rows; Column 'protein_max' has suspiciously low variance: 2 unique values; Column 'protein_range' has suspiciously low variance: 2 unique values; Column 'protein_positive_ratio' has identical values across 3588 rows; Column 'protein_negative_ratio' has identical values across 3588 rows; Column 'protein_high_expr' has suspiciously low variance: 2 unique values; Column 'protein_low_expr' has suspiciously low variance: 2 unique values; Column 'protein_extreme_high' has suspiciously low variance: 2 unique values; Column 'protein_extreme_low' has suspiciously low variance: 2 unique values; Column 'protein_total_measured' has suspiciously low variance: 2 unique values; Statistical column 'protein_min' has identical values - indicates artificial generation,Synthetic score: 43. Issues: 16
