feature,importance
methyl_n_probes,0.0
icgc_cn_instability,0.0
icgc_cn_deletions,0.0
icgc_cn_amplifications,0.0
icgc_indel_mutations,0.0
icgc_silent_mutations,0.0
icgc_nonsense_mutations,0.0
icgc_missense_mutations,0.0
icgc_total_mutations,0.0
chromatin_cna_interaction,0.0
fragment_cna_interaction,0.0
methyl_fragment_interaction,0.0
chromatin_coverage_breadth,0.0
chromatin_signal_noise_ratio,0.0
chromatin_peak_count,0.0
chromatin_regulatory_burden,0.0
chromatin_chromatin_openness,0.0
icgc_cn_neutral_regions,0.0
icgc_sv_translocations,0.0
methyl_global_methylation_mean,0.0
icgc_sv_inversions,0.0
icgc_smoking_status_encoded,0.0
icgc_gender_encoded,0.0
icgc_sv_complexity,0.0
icgc_cn_mutation_ratio,0.0
icgc_mutation_density,0.0
icgc_mutation_burden,0.0
icgc_age_at_diagnosis,0.0
icgc_pathway_mutation_score,0.0
icgc_rb_pathway_mutations,0.0
icgc_pi3k_pathway_mutations,0.0
icgc_kras_pathway_mutations,0.0
icgc_tp53_pathway_mutations,0.0
icgc_sv_burden,0.0
icgc_sv_deletions,0.0
icgc_sv_insertions,0.0
chromatin_accessibility_score,0.0
fragment_gc_content_fragments,0.0
fragment_end_motif_diversity,0.0
fragment_fragment_complexity,0.0
methyl_data_quality_score,0.0
methyl_estimated_coverage,0.0
methyl_extreme_hypomethylation,0.0
methyl_extreme_hypermethylation,0.0
methyl_methylation_iqr,0.0
methyl_methylation_range,0.0
methyl_methylation_variance,0.0
methyl_intermediate_ratio,0.0
methyl_hypomethylation_ratio,0.0
methyl_hypermethylation_ratio,0.0
methyl_intermediate_methylated_probes,0.0
methyl_hypomethylated_probes,0.0
methyl_hypermethylated_probes,0.0
methyl_global_methylation_median,0.0
methyl_global_methylation_std,0.0
methyl_cancer_likelihood,0.0
cna_total_alterations,0.0
cna_amplification_burden,0.0
fragment_short_fragment_ratio,0.0
fragment_fragment_jaggedness,0.0
fragment_nucleosome_periodicity,0.0
fragment_nucleosome_signal,0.0
fragment_dinucleosome_ratio,0.0
fragment_mononucleosome_ratio,0.0
fragment_long_fragment_ratio,0.0
fragment_fragment_length_median,0.0
cna_deletion_burden,0.0
fragment_fragment_length_std,0.0
fragment_fragment_length_mean,0.0
cna_heterogeneity_index,0.0
cna_genomic_complexity_score,0.0
cna_chromosomal_instability_index,0.0
cna_neutral_regions,0.0
icgc_stage_encoded,0.0
